,catid,coid,phesid,type,logarithm_p,r_chronotype,p_chronotype,i,true_catid
354,14,6158-0.0,6158#100,100,0.220867427,-0.003177901,0.60135728,354,14
355,14,22506_3.0,22506_3.0,3,16.6699617,0.051583694,2.14E-17,355,14
356,14,2897-0.0,2897,,1.77038238,0.014521164,0.016967491,356,14
357,14,3436-0.0,3436,,0.226737002,-0.00324866,0.593284494,357,14
358,14,3456-0.0,3456,,0.253861618,-0.003569094,0.557363317,358,14
359,14,2867-0.0,2867,,0.214983823,-0.003106446,0.609559602,359,14
360,14,20161-0.0,20161,,0.497327283,0.006071736,0.318179882,360,14
361,14,1239-0.0,1239,,25.27511756,0.064081584,5.31E-26,361,14
362,14,6157-0.0,6157#4,4,0.696226791,0.007773277,0.201267295,362,14
363,14,6158-0.0,6158#4,4,0.824669391,0.008761727,0.149737511,363,14
364,20,23113-0.0,23113,,3.917842208,0.023381449,0.000120825,364,20
365,20,23102-2.0,23102,,6.104684565,0.030034873,7.86E-07,365,20
366,20,23101-0.0,23101,,2.704977212,0.018820292,0.001972526,366,20
367,20,23100-0.0,23100,,5.259794407,0.027639587,5.50E-06,367,20
368,20,23099-0.0,23099,,1.868003335,0.015016934,0.01355179,368,20
369,20,21002-0.0,21002,,6.884798868,0.032098185,1.30E-07,369,20
370,20,21001-0.0,21001,,8.563041207,0.036160587,2.74E-09,370,20
371,20,23106-0.0,23106,,1.064851053,-0.010438746,0.086128909,371,20
372,20,20015-0.0,20015,,0.613862853,0.007097124,0.24329722,372,20
373,20,10695-0.1,10695,,0.019662419,0.000337628,0.9557352,373,20
374,20,12143-2.0,12143,,17.92529107,0.053585782,1.19E-18,374,20
375,20,10696-0.1,10696,,0.611787552,0.007079606,0.244462612,375,20
376,20,23107-0.0,23107,,0.954893825,-0.009695378,0.110944602,376,20
377,20,3062-0.0,3062,,1.238408096,0.011541864,0.057755308,377,20
378,20,10694-0.1,10694,,0.03405273,0.000575781,0.924585907,378,20
379,20,3064-0.0,3064,,1.671678906,0.014005816,0.021297131,379,20
380,20,3063-0.0,3063,,1.711752472,0.014216827,0.019419924,380,20
381,20,12144-2.0,12144,,0.405001634,0.005189731,0.393548595,381,20
382,20,23119-0.0,23119,,3.584177477,0.022209497,0.000260509,382,20
383,20,23108-0.0,23108,,1.398749293,-0.012496551,0.039925532,383,20
384,20,23127-0.0,23127,,3.750157048,0.022799202,0.000177764,384,20
385,20,49-0.0,49,,8.721181368,0.036521228,1.90E-09,385,20
386,20,23109-0.0,23109,,0.327122775,-0.004386258,0.4708442,386,20
387,20,23121-0.0,23121,,1.956159643,0.015453592,0.011062171,387,20
388,20,47-0.0,47,,0.431435308,0.005449423,0.370309362,388,20
389,20,23125-0.0,23125,,2.927139658,0.019724485,0.001182661,389,20
390,20,23126-0.0,23126,,2.859279212,0.019452142,0.001382677,390,20
391,20,23128-0.0,23128,,6.904197406,0.032147907,1.25E-07,391,20
392,20,1707_1.0,1707_1.0,1,0.987307141,0.009918481,0.102965767,392,20
393,20,1707_2.0,1707_2.0,2,1.324689182,-0.012062577,0.047349001,393,20
394,20,1707_3.0,1707_3.0,3,0.165579602,0.002484013,0.682999519,394,20
395,20,23123-0.0,23123,,3.580612831,0.02219668,0.000262656,395,20
396,20,3088-0.0,3088,,0.824826604,0.008762893,0.149683316,396,20
397,20,46-0.0,46,,0.443882476,0.005569634,0.3598467,397,20
398,20,48-0.0,48,,9.832539186,0.03896567,1.47E-10,398,20
399,20,23120-0.0,23120,,8.390976862,0.035764258,4.06E-09,399,20
400,20,50-0.0,50,,0.434666659,0.005480755,0.367564315,400,20
401,20,23112-0.0,23112,,1.916985913,0.015260802,0.012106374,401,20
402,20,23111-0.0,23111,,0.689824371,0.007721994,0.204256379,402,20
403,20,2306-0.0,2306,,4.389679147,0.024953974,4.08E-05,403,20
404,20,23110-0.0,23110,,0.784391497,-0.008459622,0.164289006,404,20
405,22,6016-0.0,6016,,0.595957098,0.006945143,0.253537908,405,22
406,22,6015-0.0,6015,,0.126030092,-0.001953292,0.748117662,406,22
407,22,6014-0.0,6014,,0.535494701,-0.006417389,0.291410569,407,22
408,22,5993-0.1,5993,,0.082215508,0.001325231,0.827531419,408,22
409,22,6020_1.0,6020_1.0,1,0.161506416,0.002430777,0.689435408,409,22
410,22,22679-2.0,22679,,1.861725632,-0.014985449,0.013749103,410,22
411,22,6020_33.0,6020_33.0,33,0.050067963,0.00083271,0.891111477,411,22
412,22,6020_32.0,6020_32.0,32,0.434098743,-0.005475254,0.368045284,412,22
413,22,4195-0.0,4195,,0.018246275,0.000313797,0.958856739,413,22
414,22,4196-0.0,4196,,0.113560504,0.001779153,0.769909177,414,22
415,22,5984-0.3,5984,,0.514762602,-0.006230902,0.305659148,415,22
416,22,6017-0.0,6017,,0.029692623,-0.000504379,0.933915056,416,22
417,22,6020_31.0,6020_31.0,31,1.070208431,0.010474022,0.085072965,417,22
418,22,93-0.0,93,,0.62434573,-0.007185238,0.23749489,418,22
419,22,5992-0.1,5992,,0.141329999,-0.002162354,0.722220815,419,22
420,22,95-0.0,95,,0.257949237,0.003616484,0.552141973,420,22
421,22,6019-0.0,6019,,0.070763766,-0.001153127,0.849642512,421,22
422,22,6034-0.0,6034,,0.071206322,-0.001159844,0.848777148,422,22
423,22,22682-0.0,22682,,0.386926932,-0.005008551,0.410273124,423,22
424,22,22683-0.0,22683,,0.095968762,-0.001527376,0.801735728,424,22
425,22,22684-0.0,22684,,0.086817338,0.001393408,0.818809103,425,22
426,22,22685-0.0,22685,,0.061191065,0.001006474,0.868578221,426,22
427,22,94-0.0,94,,0.185502897,0.002740047,0.652374689,427,22
428,22,21021-0.0,21021,,0.003083799,5.39E-05,0.992924442,428,22
429,22,22680-2.0,22680,,1.266159968,-0.011711208,0.054180129,429,22
430,22,5983-0.0,5983,,0.575711664,0.006770992,0.265636859,430,22
431,22,4194-0.0,4194,,0.896974216,0.009287811,0.126772713,431,22
432,22,4080-0.0,4080,,0.933208492,-0.009544153,0.11662496,432,22
433,22,4079-0.0,4079,,1.335670345,0.012127656,0.046166788,433,22
434,22,102-0.0,102,,4.075343953,0.02391673,8.41E-05,434,22
435,22,22681-2.0,22681,,0.442507098,-0.005556414,0.360988114,435,22
436,22,22678-2.0,22678,,1.211861274,-0.011378155,0.061395809,436,22
437,22,12338-2.0,12338,,0.184596318,0.002728549,0.653737928,437,22
438,22,22676-2.0,22676,,3.351917851,-0.021360157,0.000444715,438,22
439,22,22677-2.0,22677,,1.337302318,-0.012137306,0.045993629,439,22
440,22,6020_34.0,6020_34.0,34,0.002043227,-3.58E-05,0.995306346,440,22
441,22,5986-0.0,5986,,1.109306156,0.010728982,0.077748827,441,22
442,22,6022-0.0,6022,,0.025752984,0.000439304,0.942425472,442,22
443,22,6033-0.0,6033,,1.486679252,0.012997472,0.032607744,443,22
444,22,6038-0.0,6038,,0.74674917,0.00817097,0.179164033,444,22
445,22,12336-2.0,12336,,11.24150727,0.04186775,5.73E-12,445,22
446,22,6032-0.0,6032,,0.123886479,0.001923602,0.751819387,446,22
447,22,22670-2.0,22670,,1.741831871,-0.014373602,0.018120415,447,22
448,22,22671-2.0,22671,,0.764180513,-0.008305422,0.172115303,448,22
449,22,22672-2.0,22672,,0.037946343,0.000639007,0.916333697,449,22
450,22,22673-2.0,22673,,2.842317738,-0.019383555,0.001437746,450,22
451,22,22674-2.0,22674,,1.967517032,-0.015509122,0.01077663,451,22
452,22,22675-2.0,22675,,0.725140081,-0.00800236,0.188304162,452,22
453,22,12340-2.0,12340,,0.701373914,-0.007814357,0.198896017,453,22
454,30,30050-0.0,30050,,0.22879287,0.003273321,0.590482635,454,30
455,30,30120-0.0,30120,,0.515084928,0.006233825,0.305432377,455,30
456,30,30140-0.0,30140,,0.97367714,0.009825085,0.106248513,456,30
457,30,30830-0.0,30830,,9.478356952,-0.038202901,3.32E-10,457,30
458,30,30680-0.0,30680,,0.629831966,-0.007231104,0.2345136,458,30
459,30,30770-0.0,30770,,0.180722901,-0.002679264,0.659594611,459,30
460,30,30660-0.0,30660,,0.583346542,0.006836961,0.261007783,460,30
461,30,30040-0.0,30040,,0.182943947,0.002707557,0.656229958,461,30
462,30,30110-0.0,30110,,1.706232886,0.01418791,0.019668313,462,30
463,30,30020-0.0,30020,,1.230735851,0.011494726,0.058784679,463,30
464,30,30010-0.0,30010,,0.888050163,0.009223952,0.129404636,464,30
465,30,30000-0.0,30000,,1.273569453,0.011756118,0.053263604,465,30
466,30,30080-0.0,30080,,0.01148654,-0.000199026,0.973897969,466,30
467,30,30090-0.0,30090,,1.083986357,0.010564364,0.082416401,467,30
468,30,30100-0.0,30100,,2.057809243,0.015944973,0.008753682,468,30
469,30,30670-0.0,30670,,8.427016248,-0.035847616,3.74E-09,469,30
470,30,30030-0.0,30030,,1.09545825,0.010639172,0.080267872,470,30
471,30,30060-0.0,30060,,0.544109431,0.00649402,0.285687059,471,30
472,30,30104-0.0,30104,,1.401345758,-0.01251156,0.039687546,472,30
473,30,30200-0.0,30200,,0.082765508,0.001333409,0.826484079,473,30
474,30,30070-0.0,30070,,0.272491225,0.003783263,0.533960062,474,30
475,30,30240-0.0,30240,,7.478006052,0.033587266,3.33E-08,475,30
476,30,30250-0.0,30250,,7.518845498,0.033687494,3.03E-08,476,30
477,30,30260-0.0,30260,,0.387124827,0.005010551,0.410086217,477,30
478,30,30270-0.0,30270,,0.233550715,-0.003330153,0.584049001,478,30
479,30,30280-0.0,30280,,6.442176088,0.030943316,3.61E-07,479,30
480,30,30210-0.0,30210,,0.964220535,0.00975993,0.108587408,480,30
481,30,30290-0.0,30290,,7.148659389,0.032768412,7.10E-08,481,30
482,30,30300-0.0,30300,,8.724171182,0.036528014,1.89E-09,482,30
483,30,30600-0.0,30600,,0.706586744,-0.007855828,0.196522942,483,30
484,30,30610-0.0,30610,,0.521242277,0.006289506,0.301132565,484,30
485,30,30620-0.0,30620,,2.772074953,0.019097258,0.001690149,485,30
486,30,30630-0.0,30630,,8.364344076,-0.035702538,4.32E-09,486,30
487,30,30640-0.0,30640,,2.019159835,0.015759612,0.009568419,487,30
488,30,30650-0.0,30650,,0.889758686,-0.0092362,0.128896556,488,30
489,30,30220-0.0,30220,,0.070308593,0.001146212,0.850533467,489,30
490,30,30180-0.0,30180,,0.279682273,-0.003864715,0.525191547,490,30
491,30,30190-0.0,30190,,0.145604076,0.002219888,0.715147993,491,30
492,30,30150-0.0,30150,,1.108277178,0.010722327,0.077933256,492,30
493,30,30870-0.0,30870,,7.533948481,0.033724488,2.92E-08,493,30
494,30,30170-0.0,30170,,0.966320137,-0.009774421,0.108063707,494,30
495,30,30800-0.0,30800,,0.257747561,0.003614151,0.552398434,495,30
496,30,30790-0.0,30790,,0.318009393,0.004288107,0.480828948,496,30
497,30,30780-0.0,30780,,1.648948107,0.013885007,0.022441501,497,30
498,30,30760-0.0,30760,,8.509523141,-0.036037759,3.09E-09,498,30
499,30,30750-0.0,30750,,0.9067475,-0.009357414,0.123951704,499,30
500,30,30130-0.0,30130,,1.248373633,0.011602883,0.056445116,500,30
501,30,30730-0.0,30730,,6.797110615,0.031872516,1.60E-07,501,30
502,30,30810-0.0,30810,,6.883488679,-0.032094824,1.31E-07,502,30
503,30,30710-0.0,30710,,7.766174072,0.03428856,1.71E-08,503,30
504,30,30700-0.0,30700,,0.28777173,0.00395556,0.515499525,504,30
505,30,30720-0.0,30720,,1.634355929,0.013807016,0.02320834,505,30
506,30,30820-0.0,30820,,0.309993331,-0.004200997,0.48978634,506,30
507,30,30230-0.0,30230,,0.362107078,-0.004754701,0.434403106,507,30
508,30,30740-0.0,30740,,0.05878308,0.000969169,0.873407506,508,30
509,30,30880-0.0,30880,,4.212013014,0.024372614,6.14E-05,509,30
510,30,30160-0.0,30160,,0.874000905,-0.009122821,0.133659273,510,30
511,30,30890-0.0,30890,,16.70455196,-0.051639879,1.97E-17,511,30
512,30,30850-0.0,30850,,1.098311137,0.010657718,0.079742319,512,30
513,30,30840-0.0,30840,,0.019498047,-0.000334866,0.956096994,513,30
514,30,30860-0.0,30860,,0.349412516,0.004622492,0.447288245,514,30
515,30,30690-0.0,30690,,0.071581954,0.001165541,0.848043336,515,30
516,31,4120-0.0,4120,,0.015232976,-0.000262844,0.965532782,516,21
517,31,4140-2.0,4140,,0.22956283,-0.003282541,0.589436696,517,21
518,31,78-0.0,78,,0.522693589,-0.006302592,0.300127929,518,21
519,31,3083-0.0,3083,,0.401976584,-0.005159617,0.396299401,519,21
520,31,4123-0.0,4123,,1.012788812,-0.010091489,0.097098202,520,21
521,31,3143-0.0,3143,,1.419433243,0.01261574,0.038068587,521,21
522,31,4101-0.0,4101,,0.440310159,0.005535265,0.362818849,522,21
523,31,4104-0.0,4104,,1.35745422,0.012255992,0.043908215,523,21
524,31,3144-0.0,3144,,0.035024248,0.000591604,0.922519918,524,21
