,coef,lower,upper
Lingual Gyrus (left),-0.0028738963276170697,-0.053741691602909564,0.05167497625738147
Lingual Gyrus (right),-0.05208710670429973,-0.10628982397580398,-0.00399794647952412
Temporal Fusiform Cortex anterior division (left),-0.012342297095059247,-0.04489870937554856,0.027513934901654876
Temporal Fusiform Cortex anterior division (right),0.009971934150121653,-0.032070157949506815,0.056241476522043025
Temporal Fusiform Cortex posterior division (left),-0.03296747310473894,-0.09115519374499421,0.031044617224306716
Temporal Fusiform Cortex posterior division (right),-0.0009104145632664504,-0.05361080772313414,0.04635936360897545
Temporal Occipital Fusiform Cortex (left),0.002893967787023799,-0.03671609291144525,0.04309364846355384
Temporal Occipital Fusiform Cortex (right),-0.023755713624973928,-0.06643253872857893,0.01764591666036144
Occipital Fusiform Gyrus (left),-0.019726524932584092,-0.0642853639087237,0.01783683300273396
Occipital Fusiform Gyrus (right),0.002213852186282666,-0.032772880856458846,0.03682535057722304
Frontal Operculum Cortex (left),0.03512027992374675,-0.0038806523516729204,0.07180278489599488
Frontal Operculum Cortex (right),6.218526222442084e-05,-0.042772589896208954,0.03968496199366908
Central Opercular Cortex (left),0.01090878954599987,-0.0397622160984111,0.06425599635209643
Central Opercular Cortex (right),-0.035144013146204196,-0.08075459110210766,0.011628153616759949
Parietal Operculum Cortex (left),-0.01885770756934537,-0.06107844464492541,0.030594251786819265
Parietal Operculum Cortex (right),-0.003982747619519421,-0.049168074266986925,0.0452595796453375
Planum Polare (left),0.08021842899001745,0.03111085047301755,0.13067116140599547
Planum Polare (right),0.006080889087699392,-0.04116420125566921,0.05833698956097852
Heschl's Gyrus (includes H1 and H2) (left),-0.04249071992730923,-0.09125513956445232,0.002147940417661278
Heschl's Gyrus (includes H1 and H2) (right),0.006436852804313542,-0.04428800433532008,0.06176397103099092
Planum Temporale (left),0.036484017926556346,-0.02262006675177518,0.10796686621572214
Planum Temporale (right),0.012775266031491324,-0.04781816082712981,0.06343293176711409
Supracalcarine Cortex (left),0.004791391499782552,-0.04181037051568317,0.05318499941010931
Supracalcarine Cortex (right),-0.016577404796978768,-0.05912466222475459,0.040068470558041844
Occipital Pole (left),0.026110854375951943,-0.011477254539309598,0.06898761008287035
Occipital Pole (right),0.026979383643411427,-0.01854523978086943,0.07292113445998405
Thalamus (left),-0.01839084145346398,-0.07605226699124404,0.03580612227059853
Thalamus (right),0.003961253211140394,-0.05356093703433001,0.05960627120588105
Caudate (left),0.05458313981001929,-0.007345716007213671,0.12050535517727201
Caudate (right),-0.021451885372568872,-0.07814045462256562,0.03869725590350232
Putamen (left),-0.06716891605370102,-0.13419808062904368,-0.008519453149857708
Putamen (right),0.08024793510978898,0.005481936393755533,0.1400486327415095
Pallidum (left),-0.007351620297470604,-0.0580782683545275,0.04247584597821106
Pallidum (right),-0.013354396223896402,-0.06745407505670253,0.028697555402629776
